ts_code,name,momentum,current_price,rsi,pullback,volatility
600673.SH,东阳光,0.30066666666666686,39.02,57.9816513761468,-0.0889563390147092,0.08631738751604284
300731.SZ,科创新源,0.3003221977276582,76.68,53.05770887166237,-0.07391304347826076,0.04432534235920485
002859.SZ,洁美科技,0.2979797979797978,51.4,62.5308947108255,-0.016644346661565036,0.0640830875779619
300580.SZ,贝斯特,0.29631255487269526,29.53,61.924257932446274,-0.06075063613231552,0.06991226701845508
300166.SZ,东方国信,0.29619565217391286,19.08,62.733644859813076,-0.06286836935166999,0.0724752283487919
688229.SH,博睿数据,0.29584664536741223,101.4,59.110773323199695,-0.13333333333333328,0.061390419751260875
002866.SZ,传艺科技,0.2944756554307115,27.65,62.70833333333333,-0.07833333333333338,0.07440255076478801
300410.SZ,正业科技,0.29240506329113924,10.21,61.153846153846175,-0.02390057361376673,0.05871120975214742
688362.SH,甬矽电子,0.28869346733668344,51.29,55.856255545696534,-0.01856104094910063,0.0413652471607276
603026.SH,石大胜华,0.2881230769230769,104.66,56.131673204843935,-0.14325474787164375,0.10062063038483207
300738.SZ,奥飞数据,0.28689320388349504,26.51,52.84715284715284,-0.06059532246633584,0.05951675456625268
688368.SH,晶丰明源,0.28450381679389314,168.27,61.01086631442528,-0.021686046511627848,0.05890667825217371
301128.SZ,强瑞技术,0.2840546232760377,189.0,49.45145083564032,-0.08678005411673757,0.05364838161503964
688137.SH,近岸蛋白,0.2825517733872889,53.88,61.136512083605496,-0.0016675931072817549,0.05125075739878434
300919.SZ,中伟新材,0.28056361375880656,61.8,61.23571730850612,-0.06575963718820874,0.06662944453680646
300807.SZ,天迈科技,0.27826276735050204,58.57,61.844360644497776,-0.1286819398988396,0.07514619969380718
000977.SZ,浪潮信息,0.27795527156549515,76.0,64.77794793261867,-0.043904893697320355,0.04338010536890913
300602.SZ,飞荣达,0.2749574105621806,37.42,60.260869565217405,-0.01758991861380944,0.039725377992313876
688361.SH,中科飞测,0.27425189082538637,193.75,60.60978608310795,-0.07096619515703673,0.061801663483034765
688166.SH,博瑞医药,0.2712130119537528,64.87,62.803234501347724,-0.10990669593852898,0.09359119444971603
600884.SH,杉杉股份,0.2668711656441718,16.52,64.87394957983193,-0.08577753182069732,0.06269297984616856
603308.SH,应流股份,0.2667870628796585,77.16,62.33373639661427,-0.08858965272856131,0.07232562002176544
603803.SH,瑞斯康达,0.26504188880426494,16.61,58.95806861499365,-0.03710144927536235,0.05715831825715867
603489.SH,八方股份,0.26503267973856204,38.71,63.81197681905988,-0.017263264788017256,0.05821936757977565
000546.SZ,金圆股份,0.2629870129870131,7.78,62.41134751773049,-0.05925030229746062,0.07402813246173222
600605.SH,汇通能源,0.2629615814994406,33.86,62.393162393162385,-0.03532763532763538,0.06707340940686607
000628.SZ,高新发展,0.2628217920574736,63.28,61.35721017907633,-0.07091469681397737,0.0544162833206621
688178.SH,万德斯,0.2620391896379941,38.0,61.993603411513874,-0.06357811729916212,0.0771627231449218
301391.SZ,卡莱特,0.2605925925925927,85.09,55.38271604938272,-0.04177927927927921,0.05288519615583571
920808.BJ,曙光数创,0.25862835135535467,84.97,57.0285409442518,-0.10557894736842106,0.052339055419600475
300959.SZ,线上线下,0.2579203899268887,92.91,59.70254957507082,-0.11690903906472767,0.08043909938900197
300593.SZ,新雷能,0.25695652173913053,28.91,55.94563986409967,-0.06711842529848333,0.0633306064125674
001400.SZ,江顺科技,0.2567073170731706,206.1,64.73756365060713,-0.08400000000000002,0.09070379010786016
603815.SH,交建股份,0.25645438898450945,7.3,60.85409252669038,-0.06048906048906046,0.08944343260286339
600855.SH,航天长峰,0.25540865384615374,20.89,56.459330143540676,-0.050454545454545426,0.06275419870330302
601231.SH,环旭电子,0.25395858708891583,41.18,57.16186252771618,-0.08264646914680332,0.05573032813160091
603655.SH,朗博科技,0.2536952432141897,46.65,62.60377358490566,-0.10115606936416185,0.07677627581506881
600259.SH,中稀有色,0.2529898804047839,108.96,62.20972423802612,0.0,0.06008890577066329
601138.SH,工业富联,0.2523773297831875,65.85,63.06522609043616,-0.047033285094066575,0.06473715588484434
600527.SH,江南高纤,0.252,3.13,64.8854961832061,-0.10571428571428575,0.07766654229557639
301029.SZ,怡合达,0.25104253544620514,30.0,64.91803278688525,-0.021207177814029317,0.050491420999022964
300788.SZ,中信出版,0.25051405071967103,36.49,56.993642143505916,-0.10343980343980345,0.07467427409274732
688158.SH,优刻得-W,0.24907063197026025,50.4,56.71184958460866,-0.04797884397431053,0.04870664526176247
300617.SZ,安靠智电,0.24878899438093405,64.45,58.898614150255305,-0.07664756446991396,0.044288395014779956
601133.SH,柏诚股份,0.24591693887074184,26.7,56.47948164146869,-0.021619640894100397,0.04783489060737762
301528.SZ,多浦乐,0.24458152717572545,74.65,61.81742392663609,-0.01125827814569529,0.06932896766881504
000570.SZ,苏常柴Ａ,0.24408014571948988,6.83,53.84615384615383,-0.017266187050359726,0.06093497714556106
301178.SZ,天亿马,0.24263938191689283,59.51,60.86956521739131,-0.034085375750689845,0.058467265779212685
002042.SZ,华孚时尚,0.24029126213592233,5.11,57.60000000000003,-0.08749999999999988,0.046523688097176906
300088.SZ,长信科技,0.23979591836734704,7.29,41.24087591240877,-0.1077111383108935,0.068391082434241
301027.SZ,华蓝集团,0.2394854032657101,25.05,62.10153482880756,-0.08308931185944361,0.056432581086778365
300444.SZ,双杰电气,0.23941493456505003,16.1,56.110154905335634,-0.08781869688385253,0.06748827486633029
688156.SH,路德科技,0.23929698062190163,27.5,64.55696202531644,-0.016803718269574504,0.03381411061038206
300285.SZ,国瓷材料,0.23832373640435067,38.71,63.11688311688314,-0.048192771084337366,0.050878192575831774
920809.BJ,安达科技,0.23783031988873438,8.9,61.09510086455331,-0.08057851239669415,0.07378037554326344
301068.SZ,大地海洋,0.23537556247836622,35.69,53.936545240893054,-0.11395233366434963,0.06396148928790976
605198.SH,安德利,0.2344668882638712,48.28,55.78727841501565,-0.03343343343343347,0.03978502732504173
300490.SZ,华自科技,0.23414634146341462,20.24,53.205849268841376,-0.07495429616087754,0.04969187475427589
688079.SH,美迪凯,0.2322344322344323,16.82,60.32786885245902,-0.03995433789954334,0.0352069944160028
300442.SZ,润泽科技,0.2314174317695885,97.91,53.166815343443346,-0.04941747572815537,0.03839867610597023
000762.SZ,西藏矿业,0.23124999999999996,37.43,51.086956521739125,-0.09654839488293507,0.05919070647824617
002810.SZ,山东赫达,0.22960992907801425,27.74,64.42477876106193,-0.04934886908841677,0.07100379918657863
